iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
70,8542.8,125.6,2.6178,2.5239,0.0939,96,12866,80000,121.1,4.4,0.793
71,8668.2,125.4,2.6244,2.5196,0.1048,96,12929,80000,121.0,4.4,0.794
72,8789.2,121.0,2.6105,2.5045,0.106,96,12521,80000,116.5,4.4,0.824
73,8914.4,125.2,2.586,2.4924,0.0936,96,13007,80000,120.7,4.4,0.795
74,9035.7,121.3,2.5801,2.4955,0.0846,96,13036,80000,116.8,4.4,0.822
75,9158.7,123.0,2.5884,2.4973,0.0911,96,12239,80000,118.5,4.4,0.81
76,9279.4,120.7,2.5843,2.4892,0.0951,96,12114,80000,116.3,4.4,0.826
77,9401.1,121.7,2.5885,2.4911,0.0974,96,12562,80000,117.2,4.4,0.819
78,9526.8,125.8,2.5891,2.4945,0.0946,96,12984,80000,121.3,4.4,0.791
79,9649.5,122.7,2.6107,2.5075,0.1032,96,12340,80000,118.1,4.5,0.813
80,9771.2,121.6,2.627,2.5169,0.1101,96,12526,80000,117.2,4.4,0.819
81,9897.0,125.9,2.6303,2.5228,0.1075,96,12846,80000,121.4,4.4,0.791
82,10019.9,122.9,2.6184,2.5261,0.0924,96,12389,80000,118.4,4.4,0.811
83,10138.6,118.7,2.6215,2.5169,0.1046,96,11898,80000,114.2,4.4,0.841
84,10257.9,119.3,2.6112,2.5105,0.1006,96,12531,80000,114.8,4.4,0.836
85,10382.1,124.2,2.5995,2.507,0.0925,96,12926,80000,119.7,4.4,0.802
86,10505.6,123.5,2.6036,2.5059,0.0976,96,11795,80000,119.0,4.4,0.807
87,10628.2,122.6,2.6025,2.4945,0.108,96,12492,80000,118.1,4.4,0.813
88,10746.1,117.9,2.6134,2.5004,0.113,96,11969,80000,113.4,4.4,0.846
89,10872.3,126.2,2.5968,2.4941,0.1027,96,13524,80000,121.7,4.4,0.789
90,10996.9,124.6,2.5821,2.4803,0.1018,96,12602,80000,120.1,4.4,0.799
91,11121.0,124.1,2.5689,2.4729,0.096,96,12858,80000,119.6,4.4,0.803
92,11245.1,124.1,2.5659,2.4708,0.0951,96,12692,80000,119.7,4.4,0.802
93,11366.1,121.1,2.5595,2.4646,0.0949,96,12049,80000,116.6,4.4,0.823
94,11488.9,122.8,2.5579,2.4648,0.0931,96,12688,80000,118.3,4.4,0.811
95,11616.3,127.3,2.5801,2.4773,0.1028,96,13905,80000,122.8,4.4,0.782
96,11739.8,123.5,2.5798,2.4832,0.0965,96,13029,80000,119.0,4.4,0.807
97,11865.3,125.5,2.5869,2.4939,0.093,96,13052,80000,121.0,4.4,0.793
98,11993.4,128.1,2.588,2.4866,0.1013,96,12885,80000,123.6,4.4,0.777
99,12113.2,119.8,2.5838,2.4829,0.1009,96,12249,80000,115.3,4.4,0.833
100,12232.6,119.5,2.5797,2.4789,0.1009,96,11929,80000,115.0,4.4,0.835
