iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
1,127.8,127.8,6.9926,6.535,0.4576,96,12169,12169,126.6,1.0,0.758
2,261.2,133.4,4.576,4.3814,0.1946,96,12889,25058,131.8,1.6,0.728
3,383.7,122.5,3.6907,3.562,0.1287,96,10990,36048,120.3,2.2,0.798
4,509.2,125.5,3.445,3.3592,0.0858,96,11243,47291,122.5,2.9,0.784
5,636.8,127.6,3.3161,3.244,0.0721,96,11454,58745,123.9,3.7,0.775
6,735.9,99.1,3.2477,3.1761,0.0716,96,8711,67456,94.9,4.2,1.011
7,853.0,117.0,3.1983,3.134,0.0643,96,9632,77088,111.9,5.0,0.858
8,975.2,122.2,3.1271,3.063,0.0641,96,9466,80000,117.0,5.2,0.821
9,1087.7,112.5,3.0549,2.9976,0.0573,96,8753,80000,107.2,5.2,0.895
10,1204.1,116.4,3.0138,2.9592,0.0546,96,9737,80000,111.4,5.0,0.862
11,1320.3,116.2,3.0154,2.9589,0.0564,96,9489,80000,111.1,5.0,0.864
12,1428.5,108.3,3.0151,2.9646,0.0506,96,8724,80000,103.2,5.0,0.93
13,1544.4,115.8,3.0366,2.9849,0.0516,96,9730,80000,110.8,4.9,0.866
14,1671.0,126.7,3.0516,2.9936,0.0579,96,10954,80000,121.6,5.0,0.789
15,1792.9,121.9,3.0513,2.9918,0.0596,96,10205,80000,116.6,5.2,0.823
16,1923.8,130.9,3.0558,2.9894,0.0664,96,11031,80000,125.6,5.2,0.764
17,2038.8,115.0,3.0379,2.9822,0.0558,96,9230,80000,109.8,5.2,0.875
18,2148.2,109.4,3.0409,2.9819,0.059,96,9521,80000,104.2,5.2,0.922
19,2275.6,127.4,3.0428,2.9818,0.061,96,10301,80000,122.1,5.2,0.786
20,2408.4,132.8,3.0553,2.9862,0.0691,96,11642,80000,127.7,5.0,0.752
21,2532.4,124.0,3.0436,2.9813,0.0624,96,10686,80000,119.0,5.0,0.807
22,2655.5,123.1,3.0364,2.9758,0.0606,96,10344,80000,118.0,5.0,0.814
23,2771.4,115.9,3.0433,2.975,0.0683,96,10328,80000,110.8,5.0,0.866
24,2897.5,126.2,3.0327,2.9655,0.0672,96,11060,80000,121.1,5.0,0.793
25,3023.9,126.4,3.017,2.9479,0.0691,96,11111,80000,121.4,5.0,0.791
26,3146.2,122.2,3.0097,2.9423,0.0674,96,11078,80000,117.2,5.0,0.819
27,3258.4,112.3,2.999,2.9332,0.0658,96,9562,80000,107.2,5.0,0.896
28,3378.8,120.4,3.014,2.9405,0.0735,96,10440,80000,115.3,5.0,0.832
29,3502.5,123.6,3.0266,2.9426,0.084,96,11221,80000,118.6,5.0,0.809
30,3628.7,126.2,3.0054,2.9302,0.0752,96,11973,80000,121.2,5.0,0.792
31,3750.9,122.3,3.0203,2.9348,0.0856,96,10763,80000,117.3,5.0,0.819
32,3867.8,116.9,3.0367,2.9436,0.0931,96,10398,80000,111.8,5.0,0.859
33,3999.9,132.0,3.0395,2.9466,0.0929,96,12109,80000,127.0,5.0,0.756
34,4126.7,126.9,3.0269,2.9343,0.0927,96,11603,80000,121.7,5.1,0.789
35,4258.9,132.2,3.0288,2.926,0.1028,96,11687,80000,127.1,5.0,0.755
36,4383.8,124.9,3.0101,2.913,0.0971,96,11054,80000,119.9,5.0,0.801
37,4511.6,127.8,2.9966,2.9035,0.0931,96,11335,80000,122.7,5.0,0.782
38,4639.7,128.1,2.99,2.8866,0.1033,96,11466,80000,123.0,5.0,0.78
39,4768.3,128.6,2.9794,2.8687,0.1107,96,11487,80000,123.5,5.0,0.777
40,4899.1,130.8,2.9607,2.8536,0.1071,96,12332,80000,125.8,5.0,0.763
41,5023.2,124.1,2.9493,2.8421,0.1072,96,12035,80000,118.9,5.1,0.807
42,5154.1,130.9,2.942,2.8325,0.1094,96,12325,80000,125.9,5.0,0.763
43,5287.1,133.0,2.9085,2.8081,0.1004,96,11997,80000,128.0,5.0,0.75
44,5421.3,134.1,2.8904,2.7917,0.0987,96,12601,80000,129.1,5.0,0.744
45,5558.0,136.8,2.8671,2.7753,0.0918,96,12646,80000,131.5,5.2,0.73
46,5686.3,128.3,2.8681,2.7656,0.1024,96,10861,80000,123.0,5.2,0.78
47,5821.6,135.3,2.873,2.7667,0.1063,96,11356,80000,130.0,5.2,0.738
48,5958.1,136.5,2.8671,2.76,0.1071,96,11663,80000,131.1,5.3,0.732
49,6096.1,138.0,2.8656,2.7629,0.1027,96,12272,80000,132.6,5.4,0.724
50,6226.4,130.3,2.8627,2.762,0.1007,96,11882,80000,125.0,5.3,0.768
51,6370.8,144.4,2.8706,2.7647,0.1059,96,11621,80000,139.0,5.3,0.69
52,6516.9,146.1,2.8617,2.7579,0.1038,96,11587,80000,140.7,5.4,0.683
53,6665.4,148.5,2.8497,2.743,0.1067,96,12088,80000,143.0,5.4,0.671
54,6814.3,148.9,2.8385,2.7319,0.1067,96,11466,80000,143.1,5.7,0.671
55,6967.8,153.5,2.8247,2.7222,0.1025,96,11877,80000,147.8,5.6,0.65
56,7119.1,151.3,2.825,2.72,0.105,96,11147,80000,145.7,5.5,0.659
57,7256.1,137.0,2.8102,2.714,0.0962,96,11852,80000,131.9,5.0,0.728
58,7389.9,133.8,2.7998,2.7019,0.0979,96,11724,80000,128.5,5.2,0.747
59,7518.2,128.2,2.8071,2.7035,0.1035,96,11512,80000,123.1,5.1,0.78
60,7653.2,135.0,2.7923,2.6978,0.0946,96,11878,80000,130.0,5.0,0.739
61,7778.8,125.6,2.7831,2.678,0.1052,96,11865,80000,120.3,5.2,0.798
62,7914.7,135.9,2.7826,2.6814,0.1013,96,12304,80000,130.8,5.1,0.734
63,8050.2,135.5,2.7678,2.6674,0.1004,96,12182,80000,130.5,5.0,0.736
64,8182.8,132.6,2.7696,2.6634,0.1062,96,11238,80000,127.2,5.3,0.755
65,8315.3,132.4,2.7708,2.6617,0.1091,96,11975,80000,127.2,5.1,0.754
66,8446.8,131.5,2.7578,2.6495,0.1083,96,12188,80000,126.5,5.0,0.759
67,8577.2,130.4,2.7498,2.6426,0.1072,96,11653,80000,125.3,5.0,0.766
68,8704.7,127.5,2.7596,2.6392,0.1204,96,11854,80000,122.4,5.0,0.784
69,8830.7,126.0,2.7501,2.635,0.115,96,11431,80000,121.0,5.0,0.793
70,8963.9,133.2,2.7421,2.6328,0.1093,96,12314,80000,128.1,5.0,0.749
71,9091.3,127.4,2.7295,2.6145,0.115,96,11842,80000,122.3,5.0,0.785
72,9223.7,132.4,2.7014,2.6032,0.0982,96,13464,80000,127.4,5.0,0.754
73,9352.3,128.6,2.7172,2.6039,0.1133,96,11685,80000,123.5,5.0,0.777
74,9481.8,129.5,2.6901,2.5875,0.1026,96,12480,80000,124.4,5.0,0.771
75,9609.0,127.2,2.6811,2.5729,0.1082,96,11542,80000,122.1,5.0,0.786
76,9735.3,126.3,2.6837,2.5756,0.1081,96,11932,80000,121.3,5.0,0.791
77,9869.3,134.0,2.6751,2.5717,0.1035,96,11600,80000,128.9,5.0,0.745
78,9996.9,127.6,2.6667,2.5668,0.0999,96,11818,80000,122.5,5.0,0.784
79,10124.1,127.2,2.6766,2.5725,0.1041,96,12035,80000,122.1,5.0,0.786
80,10254.2,130.1,2.6802,2.5769,0.1033,96,12435,80000,125.0,5.0,0.768
81,10379.8,125.6,2.6686,2.5711,0.0975,96,11990,80000,120.6,4.9,0.796
82,10497.7,117.9,2.6833,2.5731,0.1102,96,10779,80000,112.9,5.0,0.851
83,10622.3,124.6,2.6822,2.575,0.1072,96,11437,80000,119.5,5.0,0.803
84,10745.6,123.3,2.6821,2.5762,0.1059,96,11595,80000,118.3,5.0,0.812
85,10877.8,132.2,2.6953,2.5808,0.1144,96,12656,80000,127.1,5.0,0.755
86,11007.9,130.1,2.6849,2.5738,0.1111,96,11357,80000,125.0,5.0,0.768
87,11147.2,139.3,2.6689,2.5608,0.1081,96,12313,80000,134.2,5.0,0.715
88,11273.6,126.4,2.6584,2.559,0.0994,96,11987,80000,121.3,5.0,0.791
89,11408.4,134.8,2.6406,2.5466,0.094,96,12668,80000,129.8,5.0,0.74
90,11534.8,126.4,2.6449,2.5412,0.1037,96,11658,80000,121.3,5.0,0.791
91,11668.5,133.8,2.6302,2.5378,0.0924,96,12388,80000,128.6,5.0,0.746
92,11798.1,129.6,2.6179,2.5309,0.087,96,12946,80000,124.5,5.0,0.771
93,11931.1,133.0,2.6158,2.5284,0.0874,96,12790,80000,127.9,5.0,0.751
94,12066.7,135.5,2.6235,2.5267,0.0968,96,12802,80000,130.4,5.0,0.736
95,12194.5,127.8,2.6307,2.5305,0.1002,96,12444,80000,122.7,5.0,0.782
96,12326.1,131.6,2.6219,2.5294,0.0925,96,12629,80000,126.4,5.0,0.759
97,12456.3,130.2,2.6216,2.5211,0.1005,96,12555,80000,125.1,5.0,0.767
98,12586.1,129.8,2.631,2.5283,0.1027,96,12175,80000,124.7,5.0,0.77
99,12713.6,127.5,2.621,2.5274,0.0935,96,11563,80000,122.3,5.0,0.785
100,12840.8,127.2,2.6306,2.5299,0.1007,96,11976,80000,122.1,5.0,0.786
101,12981.1,140.4,2.6246,2.5255,0.099,96,11803,80000,135.2,5.1,0.71
102,13119.7,138.5,2.6229,2.5236,0.0993,96,11502,80000,133.3,5.1,0.72
103,13272.7,153.0,2.6165,2.5119,0.1046,96,13430,80000,147.8,5.1,0.649
104,13422.9,150.3,2.613,2.5024,0.1107,96,12989,80000,145.1,5.1,0.662
105,13580.5,157.5,2.5994,2.4868,0.1126,96,12919,80000,152.3,5.1,0.63
106,13731.9,151.4,2.5735,2.4726,0.1009,96,12770,80000,146.2,5.1,0.656
107,13878.4,146.5,2.551,2.4526,0.0984,96,12304,80000,141.3,5.1,0.679
108,14025.2,146.7,2.5247,2.4296,0.0951,96,11728,80000,141.5,5.1,0.678
109,14161.7,136.6,2.5382,2.4331,0.1051,96,11564,80000,131.3,5.2,0.731
110,14304.1,142.4,2.548,2.4398,0.1082,96,11860,80000,137.2,5.1,0.7
111,14452.2,148.1,2.5379,2.4368,0.1011,96,12747,80000,142.9,5.1,0.672
112,14596.2,144.0,2.5283,2.4272,0.1012,96,12451,80000,138.9,5.1,0.691
113,14718.9,122.7,2.5276,2.4242,0.1034,96,11183,80000,117.7,5.0,0.816
114,14841.8,122.9,2.5339,2.4268,0.1071,96,10856,80000,117.9,5.0,0.815
115,14973.6,131.8,2.5314,2.429,0.1024,96,12678,80000,126.7,5.1,0.758
116,15098.9,125.4,2.5222,2.4232,0.099,96,11874,80000,120.3,5.0,0.798
117,15229.9,131.0,2.5131,2.4206,0.0925,96,12694,80000,125.9,5.0,0.762
118,15359.2,129.3,2.5134,2.4202,0.0932,96,11951,80000,124.2,5.0,0.773
119,15483.7,124.6,2.5278,2.4254,0.1024,96,11427,80000,119.5,5.0,0.803
120,15611.3,127.5,2.5234,2.4247,0.0987,96,11806,80000,122.5,5.0,0.784
121,15740.4,129.2,2.515,2.4211,0.0939,96,11787,80000,124.1,5.0,0.774
122,15869.7,129.2,2.5244,2.4266,0.0978,96,12432,80000,124.2,5.0,0.773
123,16005.3,135.7,2.5368,2.4305,0.1062,96,12862,80000,130.4,5.2,0.736
124,16144.7,139.4,2.5225,2.4311,0.0914,96,12837,80000,133.8,5.5,0.718
125,16284.6,139.9,2.5187,2.4254,0.0933,96,12266,80000,134.4,5.3,0.714
126,16421.7,137.1,2.5189,2.4178,0.1012,96,11897,80000,131.6,5.4,0.729
127,16552.7,131.0,2.5139,2.4139,0.1,96,11083,80000,125.6,5.4,0.764
128,16685.4,132.6,2.5172,2.4112,0.106,96,12474,80000,127.3,5.3,0.754
129,16823.3,137.9,2.5053,2.4103,0.095,96,12639,80000,132.5,5.3,0.725
130,16957.6,134.3,2.5277,2.4192,0.1085,96,11847,80000,128.9,5.4,0.745
131,17093.7,136.0,2.5446,2.4336,0.1109,96,11748,80000,130.5,5.4,0.735
132,17226.1,132.5,2.5544,2.4417,0.1127,96,12220,80000,127.2,5.2,0.755
133,17358.6,132.5,2.5475,2.4433,0.1042,96,12543,80000,127.0,5.4,0.756
134,17492.2,133.7,2.5532,2.448,0.1052,96,12365,80000,128.3,5.3,0.748
135,17629.5,137.2,2.568,2.4565,0.1115,96,12483,80000,131.8,5.4,0.729
136,17774.6,145.1,2.5615,2.4529,0.1086,96,12836,80000,139.7,5.4,0.687
137,17911.6,137.0,2.5271,2.4318,0.0952,96,12343,80000,131.5,5.3,0.73
138,18048.4,136.8,2.5225,2.4175,0.105,96,12484,80000,131.5,5.3,0.73
139,18180.0,131.6,2.5313,2.421,0.1104,96,12159,80000,126.3,5.3,0.76
140,18319.8,139.9,2.526,2.4247,0.1012,96,13028,80000,134.4,5.4,0.714
141,18453.2,133.3,2.5183,2.4156,0.1027,96,12197,80000,127.9,5.4,0.751
142,18588.1,134.9,2.5102,2.4082,0.102,96,12615,80000,129.5,5.3,0.741
143,18726.5,138.4,2.4971,2.3979,0.0993,96,12932,80000,133.0,5.4,0.722
144,18862.7,136.2,2.4842,2.3919,0.0923,96,12270,80000,130.8,5.4,0.734
145,18996.9,134.3,2.4898,2.3911,0.0987,96,11795,80000,128.8,5.4,0.745
146,19125.9,128.9,2.5048,2.4015,0.1033,96,11169,80000,123.5,5.4,0.777
147,19261.2,135.3,2.5158,2.4115,0.1043,96,13231,80000,130.0,5.2,0.738
148,19396.7,135.5,2.5361,2.4283,0.1078,96,12772,80000,130.1,5.4,0.738
149,19537.1,140.4,2.5386,2.4386,0.1,96,12268,80000,135.0,5.4,0.711
150,19671.1,134.0,2.5374,2.439,0.0984,96,12474,80000,128.6,5.3,0.746
151,19812.0,140.9,2.5345,2.4359,0.0986,96,13028,80000,135.4,5.4,0.709
152,19958.3,146.2,2.5158,2.4267,0.089,96,12115,80000,140.8,5.3,0.682
153,20109.0,150.8,2.5103,2.4224,0.0879,96,11579,80000,145.2,5.4,0.661
154,20274.1,165.1,2.5155,2.4214,0.0941,96,12538,80000,159.5,5.5,0.602
155,20426.6,152.5,2.5041,2.4164,0.0877,96,12095,80000,147.0,5.4,0.653
156,20576.1,149.5,2.5235,2.4242,0.0993,96,11520,80000,143.9,5.5,0.667
157,20723.6,147.5,2.5355,2.4321,0.1034,96,11462,80000,142.1,5.4,0.676
158,20862.2,138.6,2.5509,2.4419,0.1091,96,10836,80000,133.1,5.4,0.721
159,21014.6,152.4,2.5522,2.4402,0.112,96,11702,80000,146.9,5.5,0.654
160,21156.3,141.7,2.5502,2.435,0.1152,96,11242,80000,136.2,5.4,0.705
161,21300.9,144.6,2.5399,2.4366,0.1032,96,12984,80000,139.1,5.4,0.69
162,21432.3,131.4,2.5321,2.4327,0.0993,96,11850,80000,125.9,5.4,0.763
163,21565.7,133.4,2.5254,2.421,0.1043,96,11680,80000,128.0,5.3,0.75
164,21701.3,135.6,2.5101,2.4081,0.102,96,12601,80000,130.5,5.0,0.736
165,21830.0,128.7,2.4939,2.3913,0.1026,96,11953,80000,123.7,5.0,0.776
166,21960.2,130.2,2.4769,2.3781,0.0988,96,12246,80000,125.2,5.0,0.767
167,22084.2,124.0,2.4703,2.3766,0.0937,96,11615,80000,118.9,5.0,0.807
168,22210.6,126.4,2.4771,2.3803,0.0968,96,11895,80000,121.4,5.0,0.791
169,22342.1,131.5,2.4807,2.3803,0.1005,96,12588,80000,126.5,5.0,0.759
170,22473.0,130.9,2.4939,2.3912,0.1027,96,12117,80000,125.8,5.0,0.763
171,22604.2,131.2,2.4968,2.397,0.0999,96,13010,80000,126.1,5.0,0.761
172,22732.8,128.6,2.5009,2.4059,0.095,96,12124,80000,123.5,5.0,0.778
173,22853.1,120.3,2.5082,2.4124,0.0958,96,10410,80000,115.2,5.0,0.833
174,22988.6,135.5,2.5112,2.4053,0.1059,96,12356,80000,130.0,5.5,0.739
175,23127.3,138.7,2.5118,2.4103,0.1015,96,12653,80000,133.4,5.2,0.72
176,23258.4,131.1,2.4979,2.3962,0.1018,96,12012,80000,125.7,5.3,0.764
177,23394.1,135.7,2.487,2.3942,0.0928,96,12250,80000,130.2,5.4,0.737
178,23528.4,134.3,2.4983,2.3969,0.1013,96,11606,80000,128.9,5.3,0.745
179,23661.9,133.5,2.5062,2.3987,0.1075,96,11662,80000,128.2,5.2,0.749
180,23793.1,131.2,2.4931,2.3917,0.1014,96,12137,80000,125.8,5.4,0.763
181,23931.7,138.6,2.4827,2.3863,0.0964,96,12639,80000,133.2,5.4,0.721
182,24066.4,134.7,2.4937,2.3842,0.1095,96,12220,80000,129.6,5.0,0.741
183,24209.2,142.8,2.4907,2.3811,0.1096,96,13421,80000,137.3,5.4,0.699
184,24341.2,132.1,2.4893,2.3773,0.1119,96,11777,80000,126.8,5.2,0.757
185,24473.4,132.2,2.4768,2.3711,0.1057,96,11919,80000,126.7,5.4,0.757
186,24613.8,140.4,2.478,2.3674,0.1105,96,12077,80000,134.9,5.4,0.712
187,24751.1,137.3,2.4779,2.3609,0.117,96,12100,80000,132.0,5.2,0.727
188,24892.2,141.1,2.4723,2.3649,0.1074,96,13338,80000,136.1,5.0,0.706
189,25022.5,130.2,2.4582,2.3502,0.108,96,12946,80000,125.2,5.0,0.767
190,25151.6,129.2,2.4501,2.3485,0.1016,96,12755,80000,124.1,5.0,0.774
191,25288.8,137.2,2.4378,2.3431,0.0947,96,12956,80000,131.8,5.4,0.728
192,25425.2,136.3,2.4461,2.3475,0.0986,96,12445,80000,131.2,5.1,0.732
193,25551.1,125.9,2.4562,2.3526,0.1036,96,11541,80000,120.9,5.0,0.794
194,25678.3,127.2,2.4768,2.3724,0.1044,96,11207,80000,122.1,5.0,0.786
195,25804.2,125.9,2.4936,2.3912,0.1024,96,11493,80000,120.8,5.0,0.794
196,25933.6,129.4,2.494,2.3974,0.0966,96,12310,80000,124.3,5.0,0.772
197,26061.9,128.3,2.5059,2.4008,0.1051,96,12208,80000,123.2,5.0,0.779
198,26187.9,126.0,2.5118,2.4072,0.1046,96,12002,80000,120.9,5.0,0.794
199,26313.3,125.4,2.5105,2.4074,0.1031,96,11582,80000,120.4,5.0,0.798
200,26445.4,132.1,2.4975,2.3986,0.0989,96,12043,80000,127.0,5.0,0.756
